,idx,title,author,ban_info
0,1,Ace of Spades,"Àbíké-Íyímídé, Faridah","Banned in Libraries and Classrooms, Florida, Indian River County School District, November 2021, Administrator; "
1,2,Clap When You Land,"Acevedo, Elizabeth","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
2,3,The Poet X,"Acevedo, Elizabeth","Banned in Libraries, Florida, Indian River County School District, November 2021, Administrator; Banned in Libraries and Classrooms, New York, Marlboro Central School District, February 2022, Administrator; Banned Pending Investigation, Texas, Fredericksburg Independent School District, March 2022, Administrator; Banned in Libraries, Virginia, New Kent County Public Schools, October 2021, Administrator; "
3,4,Call Me By Your Name (Call Me By Your Name Series),"Aciman, André","Banned Pending Investigation, Virginia, Spotsylvania County Public Schools, November 2021, Administrator; "
4,5,"How I Paid for College: A Novel of Sex, Theft, Friendship & Musical Theater (Edward Zanni Series)","Acito, Marc","Banned Pending Investigation, Florida, Indian River County School District, November 2021, Administrator; "
5,6,My Name Is María Isabel,"Ada, Alma Flor","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator; "
6,7,Time to Pray,"Addasi, Maha","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator; "
7,8,Children of Blood and Bone (Legacy of Orïsha Series),"Adeyemi, Tomi","Banned Pending Investigation, Texas, Katy Independent School District, January 2022, Administrator; "
8,9,"47,000 Beads","Adeyoha, Koja","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
9,10,Half of a Yellow Sun,"Adichie, Chimamanda Ngozi","Banned in Classrooms, Michigan, Hudsonville Public Schools, January 2022, Formal Challenge; "
10,11,Cool for the Summer,"Adler, Dahlia","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
11,12,The Accidental Adventures of India McAllister,"Agell, Charlotte","Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator; "
12,13,How It All Blew Up,"Ahmadi, Arvin","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
13,14,Mae Among the Stars,"Ahmed, Roda","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
14,15,"Love, Hate & Other Filters","Ahmed, Samira","Banned in Libraries, Mississippi, Madison County Schools, April 2022, Administrator; Banned in Libraries, Wisconsin, School District of Waukesha, December 2021, Administrator; "
15,16,Being the Change: Lessons and Strategies to Teach Social Comprehension,"Ahmed, Sara K.","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
16,17,Here's to Us,"Albertalli, Becky","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
17,18,Kate in Waiting,"Albertalli, Becky","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
18,19,Leah on the Offbeat (Simonverse Series),"Albertalli, Becky","Banned in Libraries and Classrooms, Idaho, Nampa School District, May 2022, Administrator; Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
19,20,"Love, Creekwood: A Simonverse Novella (Simonverse Series)","Albertalli, Becky","Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator; "
20,21,Simon vs. the Homo Sapiens Agenda (Simonverse Series),"Albertalli, Becky","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
21,22,The Upside of Unrequited (Simonverse Series),"Albertalli, Becky","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
22,23,What If It's Us (What If It's Us Series),"Albertalli, Becky","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
23,24,Indivisible,"Aleman, Daniel","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
24,25,The Undefeated,"Alexander, Kwame","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
25,26,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,"Alexander, Michelle","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; Banned Pending Investigation, Texas, Klein Independent School District, December 2021, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
26,27,The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman","Banned in Libraries, Florida, Indian River County School District, November 2021, Administrator; Banned in Libraries and Classrooms, Florida, Jackson County School District, April 2022, Administrator; Banned in Libraries and Classrooms, Florida, Lee County Schools, March 2022, Administrator; Banned Pending Investigation, Florida, Santa Rosa County District Schools, April 2022, Administrator; Banned in Libraries, Florida, St. Lucie Public Schools, January 2022, Formal Challenge; Banned Pending Investigation, Florida, Walton County School District, April 2022, Administrator; Banned in Libraries, Georgia, Forsyth County Schools, January 2022, Administrator; Banned in Libraries and Classrooms, Idaho, Nampa School District, May 2022, Administrator; Banned in Libraries, Iowa, Ankeny Community School District, November 2021, Formal Challenge; Banned Pending Investigation, Iowa, Ottumwa Community School District, April 2022, Administrator; Banned in Libraries and Classrooms, Kansas, Derby Public Schools, November 2021, Formal Challenge; Banned Pending Investigation, Kansas, Goddard Public Schools, November 2021, Administrator; Banned Pending Investigation, Michigan, Gladwin Community Schools, May 2022, Administrator; Banned in Libraries, Mississippi, Madison County Schools, April 2022, Administrator; Banned Pending Investigation, Oklahoma, Bristow Public Schools, October 2021, Administrator; Banned Pending Investigation, Texas, Fredericksburg Independent School District, March 2022, Administrator; "
