,idx,title,summary,genres,authors,ban_info
0,1,Ace of Spades,"An incendiary and utterly compelling thriller with a shocking twist that delves deep into the heart of institutionalized racism, from an exceptional new YA voice. Welcome to Niveus Private Academy, where money paves the hallways, and the students are never less than perfect. Until now. Because anonymous texter, Aces, is bringing two students' dark secrets to light. Talented musician Devon buries himself in rehearsals, but he can't escape the spotlight when his private photos go public. Head girl Chiamaka isn't afraid to get what she wants, but soon everyone will know the price she has paid for power. Someone is out to get them both. Someone who holds all the aces. And they're planning much more than a high-school game...","Young Adult, Mystery, Thriller, LGBT, Contemporary, Fiction, Mystery Thriller","Àbíké-Íyímídé, Faridah","Banned in Libraries and Classrooms, Florida, Indian River County School District, November 2021, Administrator;"
1,2,Clap When You Land,"In a novel-in-verse that brims with grief and love, National Book Award-winning and New York Times bestselling author Elizabeth Acevedo writes about the devastation of loss, the difficulty of forgiveness, and the bittersweet bonds that shape our lives.Camino Rios lives for the summers when her father visits her in the Dominican Republic. But this time, on the day when his plane is supposed to land, Camino arrives at the airport to see crowds of crying people…In New York City, Yahaira Rios is called to the principal’s office, where her mother is waiting to tell her that her father, her hero, has died in a plane crash.Separated by distance—and Papi’s secrets—the two girls are forced to face a new reality in which their father is dead and their lives are forever altered.And then, when it seems like they’ve lost everything of their father, they learn of each other.","Young Adult, Poetry, Contemporary, Fiction, Audiobook, LGBT, Realistic Fiction","Acevedo, Elizabeth","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator;"
2,3,The Poet X,"Fans of Jacqueline Woodson, Meg Medina, and Jason Reynolds will fall hard for this astonishing New York Times-bestselling novel-in-verse by an award-winning slam poet, about an Afro-Latina heroine who tells her story with blazing words and powerful truth. Xiomara Batista feels unheard and unable to hide in her Harlem neighborhood. Ever since her body grew into curves, she has learned to let her fists and her fierceness do the talking.But Xiomara has plenty she wants to say, and she pours all her frustration and passion onto the pages of a leather notebook, reciting the words to herself like prayers—especially after she catches feelings for a boy in her bio class named Aman, who her family can never know about.With Mami’s determination to force her daughter to obey the laws of the church, Xiomara understands that her thoughts are best kept to herself. So when she is invited to join her school’s slam poetry club, she doesn’t know how she could ever attend without her mami finding out. But she still can’t stop thinking about performing her poems.Because in the face of a world that may not want to hear her, Xiomara refuses to be silent.","Poetry, Young Adult, Contemporary, Fiction, Audiobook, Realistic Fiction, Romance","Acevedo, Elizabeth","Banned in Libraries, Florida, Indian River County School District, November 2021, Administrator; Banned in Libraries and Classrooms, New York, Marlboro Central School District, February 2022, Administrator; Banned Pending Investigation, Texas, Fredericksburg Independent School District, March 2022, Administrator; Banned in Libraries, Virginia, New Kent County Public Schools, October 2021, Administrator;"
3,4,"Call Me By Your Name (Call Me By Your Name, #1)","Call Me by Your Name is the story of a sudden and powerful romance that blossoms between an adolescent boy and a summer guest at his parents' cliff-side mansion on the Italian Riviera. Unprepared for the consequences of their attraction, at first each feigns indifference. But during the restless summer weeks that follow, unrelenting buried currents of obsession and fear, fascination and desire, intensify their passion as they test the charged ground between them. What grows from the depths of their spirits is a romance of scarcely six weeks' duration and an experience that marks them for a lifetime. For what the two discover on the Riviera and during a sultry evening in Rome is the one thing both already fear they may never truly find again: total intimacy. The psychological maneuvers that accompany attraction have seldom been more shrewdly captured than in André Aciman's frank, unsentimental, heartrending elegy to human passion. Call Me by Your Name is clear-eyed, bare-knuckled, and ultimately unforgettable.","Fiction, LGBT, Contemporary, Queer, Audiobook, Gay, Young Adult","Aciman, André","Banned Pending Investigation, Virginia, Spotsylvania County Public Schools, November 2021, Administrator;"
4,5,"How I Paid for College: A Novel of Sex, Theft, Friendship & Musical Theater (Edward Zanni, #1)","A deliciously funny romp of a novel about one overly theatrical and sexually confused New Jersey teenager’s larcenous quest for his acting school tuition .It’s 1983 in Wallingford, New Jersey, a sleepy bedroom community outside of Manhattan. Seventeen-year-old Edward Zanni, a feckless Ferris Bueller–type, is Peter Panning his way through a carefree summer of magic and mischief. The fun comes to a halt, however, when Edward’s father remarries and refuses to pay for Edward to study acting at Juilliard.Edward’s truly in a bind. He’s ineligible for scholarships because his father earns too much. He’s unable to contact his mother because she’s somewhere in Peru trying to commune with Incan spirits. And, as a sure sign he’s destined for a life in the arts, Edward’s incapable of holding down a job. So he turns to his loyal (but immoral) misfit friends to help him steal the tuition money from his father, all the while practicing for his high school performance of Grease . Disguising themselves as nuns and priests, they merrily scheme their way through embezzlement, money laundering, identity theft, forgery, and blackmail. But, along the way, Edward also learns the value of friendship, hard work, and how you’re not really a man until you can beat up your father—metaphorically, that is.How I Paid for College is a farcical coming-of-age story that combines the first-person tone of David Sedaris with the byzantine plot twists of Armistead Maupin. It is a novel for anyone who has ever had a dream or a scheme, and it marks the introduction to an original and audacious talent.","Fiction, Young Adult, Humor, LGBT, Gay, Contemporary, Coming Of Age","Acito, Marc","Banned Pending Investigation, Florida, Indian River County School District, November 2021, Administrator;"
5,6,My Name Is María Isabel,"For María Isabel Salazar López, the hardest thing about being the new girl in school is that the teacher doesn't call her by her real name. ""We already have two Marías in this class,"" says her teacher. ""Why don't we call you Mary instead?"" But María Isabel has been named for her Papi's mother and for Chabela, her beloved Puerto Rican grandmother. Can she find a way to make her teacher see that if she loses her name, she's lost the most important part of herself?","Realistic Fiction, Cultural, Middle Grade, Childrens, Fiction, School, Young Adult","Ada, Alma Flor","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator;"
6,7,Time to Pray,"Yasmin is visiting her grandmother, who lives in a country somewhere in the Middle East. On her first night, she's wakened by the muezzin at the nearby mosque calling the faithful to prayer, and Yasmin watches from her bed as her grandmother prepares to pray. A visit with Grandmother is always special, but this time it is even more so. Her grandmother makes Yasmin prayer clothes, buys her a prayer rug, and teaches her the five prayers that Muslims perform over the course of a day. When it's time for Yasmin to board a plane and return home, her grandmother gives her a present that her granddaughter opens when she arrives: a prayer clock in the shape of a mosque, with an alarm that sounds like a muezzin calling the faithful to prayer. Maha Addasi's warm and endearing story is richly illustrated by Ned Gannon. Features a text in English and Arabic, and includes an author's note and glossary.Book Details: 
   Format: Hardcover 
   Publication Date: 9/1/2010 
   Pages: 32 
   Reading Level: Age 7 and Up 
 ","Picture Books, Islam, Cultural, Religion, Childrens, Realistic Fiction, Family","Addasi, Maha","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator;"
7,8,"Children of Blood and Bone (Legacy of Orïsha, #1)","They killed my mother.They took our magic.They tried to bury us.Now we rise.Zélie Adebola remembers when the soil of Orïsha hummed with magic. Burners ignited flames, Tiders beckoned waves, and Zélie’s Reaper mother summoned forth souls.But everything changed the night magic disappeared. Under the orders of a ruthless king, maji were killed, leaving Zélie without a mother and her people without hope.Now Zélie has one chance to bring back magic and strike against the monarchy. With the help of a rogue princess, Zélie must outwit and outrun the crown prince, who is hell-bent on eradicating magic for good.Danger lurks in Orïsha, where snow leoponaires prowl and vengeful spirits wait in the waters. Yet the greatest danger may be Zélie herself as she struggles to control her powers and her growing feelings for an enemy.","Fantasy, Young Adult, Fiction, Young Adult Fantasy, Magic, Audiobook, Romance","Adeyemi, Tomi","Banned Pending Investigation, Texas, Katy Independent School District, January 2022, Administrator;"
8,9,"47,000 Beads","Peyton loves to dance, and especially at pow wow, but her Auntie notices that she's been dancing less and less. When Peyton shares that she just can't be comfortable wearing a dress anymore, Auntie Eyota asks some friends for help to get Peyton what she needs.","Picture Books, LGBT, Queer, Childrens, Fiction, Banned Books, Transgender","Adeyoha, Koja","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator;"
9,10,Half of a Yellow Sun,"A masterly, haunting new novel from a writer heralded by The Washington Post Book World as “the 21st-century daughter of Chinua Achebe,” Half of a Yellow Sun re-creates a seminal moment in modern African history: Biafra’s impassioned struggle to establish an independent republic in Nigeria in the 1960s, and the chilling violence that followed. With astonishing empathy and the effortless grace of a natural storyteller, Chimamanda Ngozi Adichie weaves together the lives of three characters swept up in the turbulence of the decade. Thirteen-year-old Ugwu is employed as a houseboy for a university professor full of revolutionary zeal. Olanna is the professor’s beautiful mistress, who has abandoned her life of privilege in Lagos for a dusty university town and the charisma of her new lover. And Richard is a shy young Englishman in thrall to Olanna’s twin sister, an enigmatic figure who refuses to belong to anyone. As Nigerian troops advance and the three must run for their lives, their ideals are severely tested, as are their loyalties to one another. Epic, ambitious, and triumphantly realized, Half of a Yellow Sun is a remarkable novel about moral responsibility, about the end of colonialism, about ethnic allegiances, about class and race—and the ways in which love can complicate them all. Adichie brilliantly evokes the promise and the devastating disappointments that marked this time and place, bringing us one of the most powerful, dramatic, and intensely emotional pictures of modern Africa that we have ever had.","Fiction, Historical Fiction, Africa, Nigeria, War, Historical, African Literature","Adichie, Chimamanda Ngozi","Banned in Classrooms, Michigan, Hudsonville Public Schools, January 2022, Formal Challenge;"
10,11,Cool for the Summer,"Lara's had eyes for exactly one person throughout her three years of high school: Chase Harding. He's tall, strong, sweet, a football star, and frankly, stupid hot. Oh, and he's talking to her now. On purpose and everything. Maybe...flirting, even? No, wait, he's definitely flirting, which is pretty much the sum of everything Lara's wanted out of life.Except she’s haunted by a memory. A memory of a confusing, romantic, strangely perfect summer spent with a girl named Jasmine. A memory that becomes a confusing, disorienting present when Jasmine herself walks through the front doors of the school to see Lara and Chase chatting it up in front of the lockers.Lara has everything she ever wanted: a tight-knit group of friends, a job that borders on cool, and Chase, the boy of her literal dreams. But if she's finally got the guy, why can't she stop thinking about the girl?Cool for the Summer is a story of self-discovery and new love. It’s about the things we want and the things we need. And it’s about the people who will let us be who we are.","Romance, LGBT, Young Adult, Contemporary, Lesbian, Queer, Fiction","Adichie, Chimamanda Ngozi","Banned in Classrooms, Michigan, Hudsonville Public Schools, January 2022, Formal Challenge;"
11,12,The Accidental Adventures of India McAllister,"Fourth grade is a year of changes, challenges, and ordinary joys for India McAllister. She lives in Maine with her artist mom and their dog, Tofu. Her father lives in the next town over with his new partner, Richard and their bird, Beatrice Strawberry. India – named for the ink, not the subcontinent – was adopted from China as a baby. Being the only Chinese girl in her small town fuels India's search for identity. India reports in her own words and drawings about life, adventures (many with her good friend Colby) and all things annoying as well as what makes her happy. First three on the happy list: Tofu, Bird, and Colby!The Accidental Adventures of India McAllister is a 2011 Bank Street - Best Children's Book of the Year.","Childrens, LGBT, Fiction, Banned Books, Juvenile, Realistic Fiction, Middle Grade","Adler, Dahlia","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator;"
12,13,How It All Blew Up,"Simon vs. the Homo Sapiens Agenda goes to Italy in Arvin Ahmadi's newest incisive look at identity and what it means to find yourself by running away.Eighteen-year-old Amir Azadi always knew coming out to his Muslim family would be messy--he just didn't think it would end in an airport interrogation room. But when faced with a failed relationship, bullies, and blackmail, running away to Rome is his only option. Right?Soon, late nights with new friends and dates in the Sistine Chapel start to feel like second nature... until his old life comes knocking on his door. Now, Amir has to tell the whole truth and nothing but the truth to a U.S. Customs officer, or risk losing his hard-won freedom.At turns uplifting and devastating, How It All Blew Up is Arvin Ahmadi's most powerful novel yet, a celebration of how life's most painful moments can live alongside the riotous, life-changing joys of discovering who you are.","Young Adult, LGBT, Contemporary, Romance, Queer, Fiction, Realistic Fiction","Agell, Charlotte","Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator;"
13,14,Mae Among the Stars,"Inspired by the life of the first African American woman to travel in space, Mae Jemison.When Little Mae was a child, she dreamed of dancing in space. She imagined herself surrounded by billions of stars, floating, gliding, and discovering.She wanted to be an astronaut.Her mom told her, ""If you believe it, and work hard for it, anything is possible.”Little Mae’s curiosity, intelligence, and determination, matched with her parents' encouraging words, paved the way for her success at NASA as the first African American woman to travel in space.","Picture Books, Biography, Space, Childrens, Nonfiction, Science, History","Ahmadi, Arvin","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator;"
14,15,"Love, Hate & Other Filters","A searing #OwnVoices coming-of-age debut in which an Indian-American Muslim teen confronts Islamophobia and a reality she can neither explain nor escape—perfect for fans of Angie Thomas, Jacqueline Woodson, and Adam Silvera.American-born seventeen-year-old Maya Aziz is torn between worlds. There’s the proper one her parents expect for their good Indian daughter: attending a college close to their suburban Chicago home, and being paired off with an older Muslim boy her mom deems “suitable.” And then there is the world of her dreams: going to film school and living in New York City—and maybe (just maybe) pursuing a boy she’s known from afar since grade school, a boy who’s finally falling into her orbit at school. There’s also the real world, beyond Maya’s control. In the aftermath of a horrific crime perpetrated hundreds of miles away, her life is turned upside down. The community she’s known since birth becomes unrecognizable; neighbors and classmates alike are consumed with fear, bigotry, and hatred. Ultimately, Maya must find the strength within to determine where she truly belongs.","Young Adult, Contemporary, Romance, Fiction, Realistic Fiction, Young Adult Contemporary, Family","Ahmed, Roda","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator;"
15,16,Being the Change: Lessons and Strategies to Teach Social Comprehension,"Topics such as race , gender , politics , religion , and sexuality are part of our students' lives, yet when these subjects are brought up at school teachers often struggle with how to respond. How do we create learning conditions where kids can ask the questions they want to ask, muddle through how to say the things they are thinking, and have tough conversations? How can we be proactive and take steps to engaging in the types of conversations where risk is high but the payoff could be even greater? Being the Change is based on the idea that people can develop skills and habits to serve them in the comprehension of social issues. Sara K. Ahmed identifies and unpacks the skills of social comprehension , providing teachers with tools and activities that help students make sense of themselves and the world as they navigate relevant topics in today's society. Each chapter includes clear, transferrable lessons and practical strategies that help students learn about a targeted social comprehension concept. From exploring identity and diversity to understanding and addressing biases and microaggressions, Sara demonstrates how to address real issues honestly in the classroom while honoring and empowering students. Dealing with social issues is uncomfortable and often messy, but you can build habitats of trust where kids and adults can make their thinking visible and cultivate empathy; where expression, identity, and social literacy matter. There is no magic formula for making the world a better place. It happens in the moments we embrace discomfort and have candid conversations. **** ""I am convinced that every class of kids I work with is filled with change agents who will make this world the one we teach toward. I believe that my students will carry the work of doing right by this world into their own lives. I'll bet you believe this about your kids, too."" -Sara K. Ahmed","Education, Teaching, Nonfiction, Adult, Race, Activism, Social Justice","Ahmed, Samira","Banned in Libraries, Mississippi, Madison County Schools, April 2022, Administrator; Banned in Libraries, Wisconsin, School District of Waukesha, December 2021, Administrator;"
16,17,Here's to Us,"Ben has spent his first year of college working on his fantasy manuscript with his writing partner Mario, who is a great Spanish tutor, and an even better kisser. So why can’t he stop thinking about the fact that Arthur’s back in town two years after they called it quits?Arthur is in New York for a dream internship on Broadway, with a boyfriend back at home that he couldn't be happier with. But when he comes upon Ben cuddled up with a mystery boy, he starts to wonder if his feelings for Ben ever truly went away. Even as the boys try to focus on their futures, they can't seem to help running into each other in the present. Is the universe forcing them to question if they’re actually meant to be?Possibly not. After all, things didn’t work the first time around.Possibly yes. After all, the sparks are still flying.Sometimes you just have to take a leap of faith and raise a glass.Here’s to celebrating old friends!Here’s to embracing new beginnings!Here’s to believing in second chances!","Romance, LGBT, Young Adult, Contemporary, Queer, Fiction, Audiobook","Ahmed, Sara K.","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator;"
17,18,Kate in Waiting,"Contrary to popular belief, best friends Kate Garfield and Anderson Walker are not codependent. Carpooling to and from theater rehearsals? Environmentally sound and efficient. Consulting each other on every single life decision? Basic good judgment. Pining for the same guys from afar? Shared crushes are more fun anyway.But when Kate and Andy’s latest long-distance crush shows up at their school, everything goes off script. Matt Olsson is talented and sweet, and Kate likes him. She really likes him. The only problem? So does Anderson.Turns out, communal crushes aren’t so fun when real feelings are involved. This one might even bring the curtains down on Kate and Anderson’s friendship.","Young Adult, Romance, Contemporary, LGBT, Queer, Fiction, Audiobook","Albertalli, Becky","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator;"
